Id,Profile Name,Review,Review date,Rating,Colour,Size
R3PO8G3B0O2PSS,Sharath,"It is just a review from my side so that its good for you to know before buying rather than regretting later.Positives:* Showoff* Camera* Sound* Security (they say, bt that blocks so many accessibility options for me)* So many awesome features as all iphone users say (which probably I will use once in a lifetime)Negatives for me (You may like it):1. No shortcut to change between vibration and no vibration frequently.2. No end cal button on the lock screen.3. Call list is nonsense. It shows phone, watsap and all other calls in same list.4. Goto a specific contact in call history n you can see only history of one day. Total length of call history is 100. Most probably you will not able to find call history of previous month for a specific contact.5. Need of Itunes to copy music from PC to phone.6. No file manager like android where we can see complete folder structure.7. No silent and vibrate mode notification on screen.8. Need to buy separate adapter n earphones after already spending double.9. Cannot remove torch icon in iphone14 frm lock screen. You may end up switching it on unwillingly.10. BT and WiFi shortcuts will just disconnect them. To turn off you need to go to Settings screen and turn it off again.11. In so many places, either text or files, there is no Select All option.12. Takes a lot of time to get detected by devices when hotspot is on.13. At some screen you get stuck and you will miss the back button.14. Copy some mp3 files to your iphone and you will never be able to find it with default music app.15. Every app will be either on lot of home screens or organised under some groups. You will never get a clean home screen with 2 or 3 most frequently used apps and all other apps in a swipe up menu like android.16. No fingerprint sensor.List goes on and on, try it yourself.. No iphone owner speaks about limitations. Some people like iphone for these and others hate it for these. If you can pay double and handle these adjustments with work arounds, go ahead.",6 June 2023,3,Midnight,128 GB
R3QN7WHCT1NEQA,Prasanna,"About the phoneApple phone without a second delay, I would say it is better than all android phones I have used. The phone is like water, it flows in a way you want and shaping in your way. In a best way possible, the phone is designed to only show what the user wants and eliminating unnecessary ads, features that I have seen in android.Why it is better than Android?You pay too much money for Apple products, obviously you experience the features, physical components , camera lens etc. Apart from basic things, you can also enjoy the best applications available in app store. If you are a developer you might know the app store policy for application publish and their security posture towards handling payment apps etc. They publish best application and the way the apps, its modules switches is just flawless. Due to the so called strict policy of privacy program with Apple products, iPhone can pop up a box in your screen if any apps wants to track your activity with other applications. +1 respect for apple to show such concern with user.Apple phones are same ? like 13 vs 14The reason 14 is same as 13 may be business practice followed from 11th edition. But please note that iPhone making changes internally like physical components (small change in battery performance, lens in 14 edition), additional features but that may not satisfy you to buy 14 edition. If you do not find ""the very few changes"" interesting in 14,  go for 13. Because physical and even cameras are not visually very much different in 13 vs 14 comparison. Also you get 13 for cheap :)14 is just added features but that is not for daily use, the features real time use is rare case. But the best part is there is no extra cost between 13 vs 14 prices (except extra 10k slash)Concern you must have.Apple is not giving chargers and their silicon cases are very expensive (but very good in touch and scratch friendly in back due to silk layer). This is an issue for sure. You have to buy charger not coming with USB C and claiming that you help carbon footprint, understandable but not customer friendly business model. Even after the purchase I had to spend at least 7k for charger and case.Apple care.I am not buying it, I pay for phone which is already expensive for this premium and apple care does have strict policy that if you understand that is waste. Instead I find a private insurance to make things better.",22 June 2023,5,Red,128 GB
R162ZPIZIORMXV,manoj tomar,Very liked the phone,1 July 2023,4,Midnight,128 GB
RYJOV80T6QI8V,Anamitra Ghosh,"Pros:1. Powerful A15 Bionic chip2. Beautiful OLED display3. Excellent camera quality4. Long-lasting battery life5. Secure Face ID authentication6. Up to 5 years of software updatesCons:1. Expensive2. No major design changes from the iPhone 133. No headphone jack4. No expandable storageOverall, the iPhone 14 is a great phone, but it's not a major upgrade over the iPhone 13. If you're looking for a new iPhone, the iPhone 14 is a good option, but you may want to consider waiting for the iPhone 15, which is expected to have more significant changes.",3 June 2023,4,Purple,128 GB
RB0BO4DEM77O4,Sam,"I prefer to have some privacy in life, I think apple suite is bit more private than google. It respects user privacy if you are not using third party apps. My options were stock android without google (something like lineageOS) or iPhone. I tried lineageOS but there was always something breaking in my phone. It couldn't become my daily driver; I wish most of the things in android were open source like maps and some other proprietary google apps. In the current state, I was left with choosing iPhone. For long, I had debated with myself about buying iPhone or not, I was using OnePlus 7T for last 3.5 years. The phone stopped getting updates and had many bugs. The software changed a lot, I hated it. All these OEM betraying consumers made me switch to iPhone in the end. I can't trust any other brand to have the consistency like apple has. That's my take in the phone market. I wish there was a consistent bloat free android brand with a great camera.",27 June 2023,5,Midnight,128 GB
R1VSOFUYX80DJ2,Ramesh Choudhary,"I upgraded from iPhone 11 to iPhone 14. In simple iPhone is best in all ways. Its costly but its worth it.Every feature of iPhone 14 is awesomeCamera, speed, flawness, etc are more than expected.Battery if you use more screen time then it will last for 7-8 hrs if not using much or simple use then it will easily last for more then one day.Go for it if you can afford instead of android.",30 June 2023,5,Blue,128 GB
RY99CDVO2MHHZ,Pranav.j,Good @ low end use,18 June 2023,4,Midnight,256 GB
R82UYFECG8Q9,Neeraj Singh,"Product is good as always, but this time delivery also very satisfying.",13 June 2023,4,Blue,128 GB
R1CV3AHRSZTKWK,Amazon Customer,What good product,21 June 2023,4,Midnight,128 GB
R1ZAY3LYDYNLWC,farida,"It’s trusts worthyGo for it as a first time buyer i was scared but amazon has nailed itAmazing delivery, the security was just the best. Thank you Amazon",3 July 2023,5,Midnight,128 GB
RSP9DZIF0W15,akshay,I switched to iPhone 14 from Android. The powerful chipset gives you smooth performance. No lags just delivers the best of it. Camera and speaker are awesome.,30 June 2023,5,Blue,128 GB
RX5FR6CUBJD11,SURAJ,"Using it as a daily driver.Have been an android users for the past 7 yrs, wanted to try something different in terms of OS. Had used windows also,This thing has grown upon me. It’s been just 20 days of the purchase and now I don’t feel switching back to android.The best part is the battery life. I can see a noticeable difference between Android and iPhone . Also daily app usage experience is great as of now.Not a fan of any particular product. I you love android , then go for android or if you like iOS go for iPhone",5 June 2023,5,Purple,128 GB
R3N8D36ISKFFNF,Sushmita Sen Mazumder,"Great display, great colour, lightweight. Very decent camera quality. Battery life is long. Have been using iPhone for the last 10 years. Would suggest one must go for it without hesitation.",28 June 2023,5,Blue,128 GB
R1F81LO5UGNVN7,harshita t.,Good,5 June 2023,4,Blue,512 GB
R12LMOS1KJYR6X,Zoheb,Its ok,31 May 2023,4,Blue,128 GB
R1PLQM0NQJ74F5,abhi chatterjee,Transaction was smooth phone is good as expected. Performance and battery is decent .,2 July 2023,5,Midnight,128 GB
R2WBRZSH3U44HN,Rahul Singh,"I was used I phone since 2007 , I have nothing complaints against Apple but need to improve in battery life m, battery was draining like rainwater.",20 June 2023,5,Red,128 GB
R2HK5VIL05G3WA,Excellent ,Like,3 July 2023,5,Red,128 GB
R3QN87WNRP5AGO,Kishor Muppa,Quality super good performance,31 May 2023,4,Blue,128 GB
RFOVH6X0CTV1S,Kamlesh yadav,,3 June 2023,4,Blue,128 GB
R286DQTJKVJS31,varun,Excellent,2 July 2023,5,Blue,128 GB
RWU019MHJLZLD,Amazon Customer,Value for money,2 July 2023,5,Midnight,128 GB
R1QM04XVL3KWYV,REENA A.,Good,27 June 2023,5,Yellow,128 GB
R36YLEKYEP4112,Vinod,No need any review of this product. Everybody knows it. Only I selected buyer Appario Retail based on my previous experience.Genene product received in good condition.,17 June 2023,5,Midnight,128 GB
RJCHQ82SI07M,Rajat mandal,Good one looks,27 June 2023,5,Blue,128 GB
R3PRRNFU74CHIJ,WASEEM AHMED,Standard product no issues with iPhone but the ordering and delivery process was pathetic.,20 May 2023,4,Red,128 GB
R3TBLFZYMIX1O,Harshal Raut,,28 June 2023,5,Purple,128 GB
RHATF5W8B4COJ,Ronak,Genuine product,17 May 2023,4,Midnight,128 GB
